title,region,edition,xboxid,pubid,gameid,discid,regionid
Spider-Man,Japan,Original,CC01001J,CC,010,01,J
Lakemasters: Bass Fishing Game,Japan,Original,CC01101J,CC,011,01,J
Pro Cast: Sports Fishing Game,USA,Original,CC01102A,CC,011,02,A
Pro Cast: Sports Fishing Game,Europe,Original,CC01103E,CC,011,03,E
Robin Hood: Defender of the Crown,,,,CC,012,01,
Robin Hood: Defender of the Crown,Europe,Original,CC01202E,CC,012,02,E
Robin Hood: Defender of the Crown,USA,Original,CC01203K,CC,012,03,K
,,,,CC,013,01,
Auto Modellista,,,,CC,014,01,
Auto Modellista,"USA, Japan",Original,CC01402W,CC,014,02,W
Street Fighter Anniversary Collection,,,,CC,015,01,
Street Fighter Anniversary Collection,,,,CC,015,02,
Street Fighter Anniversary Collection,"Japan, Europe",Original,CC01503W,CC,015,03,W
Street Fighter Anniversary Collection,USA,Original,CC01504W,CC,015,04,W
Capcom Fighting Jam,World,Original,CC01601W,CC,016,01,W
Mega Man Anniversary Collection,USA,Original,CC01701A,CC,017,01,A
,,,,CC,018,01,
Final Fight: Streetwise,USA,Original,CC01901A,CC,019,01,A
Final Fight: Streetwise,Europe,Original,CC01902E,CC,019,02,E
Without Warning,,,,CC,020,01,
Without Warning,,,,CC,020,02,
Without Warning,Europe,Original,CC02003W,CC,020,03,W
Beat Down,Japan,Original,CC02101J,CC,021,01,J
Beat Down: Fists of Vengeance,USA,Original,CC02102A,CC,021,02,A
Beat Down: Fists of Vengeance,Europe,Original,CC02103E,CC,021,03,E
Darkwatch,USA,Original,CC02201A,CC,022,01,A
,,,,CC,023,01,
Capcom Classics Collection Vol. 1,"USA, Europe",Original,CC02401W,CC,024,01,W
Capcom Classics Collection Vol. 2,USA,Original,CC02501K,CC,025,01,K
,,,,,,,
Daisenryaku VII,Japan,Original,CK00101J,CK,001,01,J
Dai Senryaku VII: Modern Military Tactics,USA,Original,CK00102A,CK,001,02,A
Colin McRae Rally 3,Europe,Original,CM00101E,CM,001,01,E
Colin McRae Rally 3,USA,Original,CM00104A,CM,001,04,A
Colin McRae Rally 3,Asia,Original,CM00105J,CM,001,05,J
TOCA Race Driver,Europe,Original,CM00202E,CM,002,02,E
Pro Race Driver,USA,Original,CM00203A,CM,002,03,A
DTM Race Driver: Director's Cut,Europe,Original,CM00205E,CM,002,05,E
TOCA Race Driver,Italy,Original,CM00206E,CM,002,06,E
Mike Tyson Heavyweight Boxing,USA,Original,CM00301A,CM,003,01,A
Mike Tyson Heavyweight Boxing,Europe,Original,CM00302E,CM,003,02,E
Roger Lemerre: La Sélection des Champions 2003,France,Original,CM00402E,CM,004,02,E
BDFL Manager 2003,Germany,Original,CM00403E,CM,004,03,E
Mánager de Liga 2003,Spain,Original,CM00404E,CM,004,04,E
Football Manager Campionato 2003,Italy,Original,CM00405E,CM,004,05,E
LMA Manager 2003,Europe,Original,CM00406E,CM,004,06,E
IndyCar Series,Europe,Original,CM00601E,CM,006,01,E
IndyCar Series,USA,Original,CM00603A,CM,006,03,A
Prisoner of War,Europe,Original,CM00801E,CM,008,01,E
Prisoner of War,USA,Original,CM00803A,CM,008,03,A
Club Football: AC Milan,Europe,Original,CM01202E,CM,012,02,E
World Championship Snooker 2003,Europe,Original,CM01301E,CM,013,01,E
TOCA Race Driver,Europe,Rerelease,CM01401E,CM,014,01,E
DTM Race Driver Live,Europe,Original,CM01403E,CM,014,03,E
TOCA Race Driver,Italy,Rerelease,CM01404E,CM,014,04,E
V8 Supercars Australia: Race Driver,Australia,Original,CM01405E,CM,014,05,E
LMA Manager 2004,Europe,Original,CM01501E,CM,015,01,E
BDFL Manager 2004,Germany,Original,CM01502E,CM,015,02,E
Roger Lemerre: La Sélection des Champions 2004,France,Original,CM01503E,CM,015,03,E
Football Manager Campionato 2004,Italy,Original,CM01504E,CM,015,04,E
Mánager de Liga 2004,Spain,Original,CM01505E,CM,015,05,E
Colin McRae Rally 04,Europe,Original,CM01602E,CM,016,02,E
Colin McRae Rally 04,USA,Original,CM01603A,CM,016,03,A
TOCA Race Driver 2,Europe,Original,CM01701E,CM,017,01,E
TOCA Race Driver 2,USA,Bundled with Colin McRae Rally 04,CM01702A,CM,017,02,A
TOCA Race Driver 2,Asia,Original,CM01703J,CM,017,03,J
DTM Race Driver 2: Ultimate Racing Simulator,Europe,Classics,CM01704E,CM,017,04,E
V8 Supercars Australia 2,Australia,Original,CM01705E,CM,017,05,E
Club Football: Ajax Amsterdam,Europe,Original,CM01801E,CM,018,01,E
Club Football: Arsenal,Europe,Original,CM01901E,CM,019,01,E
Club Football: Aston Villa,Europe,Original,CM02001E,CM,020,01,E
Club Football: FC Barcelona,Europe,Original,CM02101E,CM,021,01,E
Club Football: FC Bayern München,Europe,Original,CM02201E,CM,022,01,E
Club Football: Borussia Dortmund,Germany,Original,CM02301E,CM,023,01,E
Club Football: Celtic FC,Europe,Original,CM02401E,CM,024,01,E
Club Football: Chelsea FC,Europe,Original,CM02501E,CM,025,01,E
Club Football: FC Internazionale,Europe,Original,CM02701E,CM,027,01,E
